Año;Código;Universidad;Rama;Grado en;Centro;Nota general;Titulados;Mayor 25;Mayor 40;Mayor 45
2015 ;125504;ALMERÍA;SYJ;ADMINISTRACION Y DIRECCIÓN DE EMPRESAS ;FACULTAD CIENCIAS ECONÓMICAS Y EMPRESARIALES;5,108;5,000;7,380 -OPR AN;5,000;5,000
2015 ;126702;ALMERÍA;C;BIOTECNOLOGÍA ;FACULTAD DE CIENCIAS EXPERIMENTALES;9,508;7,740;5,000 -ONP NA;5,000;5,000
2015 ;127005;ALMERÍA;C;CIENCIAS AMBIENTALES ;FACULTAD DE CIENCIAS EXPERIMENTALES;5,000;5,000;5,000 -ONP NA;5,000;5,000
2015 ;127501;ALMERÍA;SYJ;CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE ;FACULTAD DE CIENCIAS DE LA EDUCACIÓN;9,480;7,820;7,580 -OPR AN;5,000;5,000
2015 ;129509;ALMERÍA;SYJ;DERECHO ;FACULTAD DE DERECHO;5,613;6,510;6,958 -OPR AN;21,083;6,450
2015 ;125601;ALMERÍA;SYJ;DERECHO + ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS ;FACULTAD CIENCIAS ECONÓMICAS Y EMPRESARIALES;5,000;6,300;5,070 -OPR NA;5,000;5,000
2015 ;130005;ALMERÍA;SYJ;ECONOMÍA ;FACULTAD CIENCIAS ECONÓMICAS Y EMPRESARIALES;5,000;6,560;5,000 -ONP NA;5,000;5,000
2015 ;145505;ALMERÍA;SYJ;EDUCACIÓN INFANTIL ;FACULTAD DE CIENCIAS DE LA EDUCACIÓN;5,000;6,730;5,700 -OPR AN;5,000;5,000
2015 ;146509;ALMERÍA;SYJ;EDUCACIÓN PRIMARIA ;FACULTAD DE CIENCIAS DE LA EDUCACIÓN;5,307;6,630;6,480 -OPR AN;5,000;5,000
2015 ;102200;ALMERÍA;SYJ;EDUCACIÓN SOCIAL ;FACULTAD DE CIENCIAS DE LA EDUCACIÓN;5,184;6,750;5,770 -OPR AN;5,000;5,000
2015 ;102502;ALMERÍA;SD;ENFERMERÍA ;FACULTAD DE CIENCIAS DE LA SALUD;9,711;8,500;6,248 -OPR AN;13,163;6,900
