Año;Código;Universidad;Rama;Grado en;Centro;Nota general;Titulados;Mayor 25;Mayor 40;Mayor 45
2013 ;102006;ALMERÍA;SYJ;FINANZAS Y CONTABILIDAD ;FACULTAD CIENCIAS ECONÓMICAS Y EMPRESARIALES;5,000;5,000;5,000 -ONP NA;5,000;5,000
2013 ;103506;ALMERÍA;SD;FISIOTERAPIA ;FAC. DE CIENCIAS DE LA EDUCACIÓN, ENFERMERÍA Y FISIOTERAPIA;9,830;8,600;7,490 -OPR AN;20,414;5,500
2013 ;104003;ALMERÍA;SYJ;GESTIÓN Y ADMINISTRACIÓN PÚBLICA ;FACULTAD DE DERECHO;5,000;5,550;5,000 -ONP NA;5,000;5,000
2013 ;137507;ALMERÍA;AYH;HISTORIA ;FACULTAD DE HUMANIDADES Y PSICOLOGÍA;5,000;5,000;6,450 -OPR AN;20,643;8,300
2013 ;138500;ALMERÍA;AYH;HUMANIDADES ;FACULTAD DE HUMANIDADES Y PSICOLOGÍA;5,000;5,000;5,000 -ONP NA;11,562;5,000
2013 ;122007;ALMERÍA;IYA;INGENIERÍA AGRÍCOLA EXPLOTACIONES AGROPECUARIASHORTOFRUTICULTURA Y JARDINERÍAINDUSTRIAS AGRARIAS Y ALIMENTARIASMECANIZACIÓN DE CONSTRUCCIONES RURALES;ESC. POLITÉCNICA SUPERIOR Y FAC. DE CIENCIAS EXPERIMENTALES;5,000;5,000;5,000 -ONP NA;5,000;5,000
2013 ;113005;ALMERÍA;IYA;INGENIERÍA ELECTRÓNICA INDUSTRIAL ;ESC. POLITÉCNICA SUPERIOR Y FAC. DE CIENCIAS EXPERIMENTALES;5,000;6,150;5,000 -ONP NA;5,000;5,000
2013 ;123507;ALMERÍA;IYA;INGENIERÍA INFORMÁTICA INGENIERÍA DEL SOFTWARESISTEMAS DE INFORMACIÓNTECNOLOGÍAS DE LA INFORMACIÓN;ESC. POLITÉCNICA SUPERIOR Y FAC. DE CIENCIAS EXPERIMENTALES;5,000;5,000;5,000 -ONP NA;5,000;5,000
2013 ;113501;ALMERÍA;IYA;INGENIERÍA MECÁNICA ;ESC. POLITÉCNICA SUPERIOR Y FAC. DE CIENCIAS EXPERIMENTALES;5,997;8,240;5,000 -ONP NA;5,000;5,000
2013 ;114009;ALMERÍA;IYA;INGENIERÍA QUÍMICA INDUSTRIAL ;ESC. POLITÉCNICA SUPERIOR Y FAC. DE CIENCIAS EXPERIMENTALES;5,000;6,160;5,000 -ONP NA;5,000;5,000
