Año;Código;Universidad;Rama;Grado en;Centro;Nota general;Titulados;Mayor 25;Mayor 40;Mayor 45
2014 ;125504;ALMERÍA;SYJ;ADMINISTRACION Y DIRECCIÓN DE EMPRESAS ;FACULTAD CIENCIAS ECONÓMICAS Y EMPRESARIALES;5,000;5,000;6,500 -OPR AN;5,000;5,000
2014 ;127005;ALMERÍA;C;CIENCIAS AMBIENTALES ;ESC. POLITÉCNICA SUPERIOR Y FAC. DE CIENCIAS EXPERIMENTALES;5,000;5,000;5,000 -ONP NA;5,000;5,000
2014 ;127501;ALMERÍA;SYJ;CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE ;FAC. DE CIENCIAS DE LA EDUCACIÓN, ENFERMERÍA Y FISIOTERAPIA;9,330;8,480;6,924 -OPR AN;12,000;5,000
2014 ;129509;ALMERÍA;SYJ;DERECHO ;FACULTAD DE DERECHO;5,078;7,230;5,066 -OPR AN;5,000;5,000
2014 ;130005;ALMERÍA;SYJ;ECONOMÍA ;FACULTAD CIENCIAS ECONÓMICAS Y EMPRESARIALES;5,000;7,070;5,192 -OPR AN;5,000;5,000
2014 ;145505;ALMERÍA;SYJ;EDUCACIÓN INFANTIL ;FAC. DE CIENCIAS DE LA EDUCACIÓN, ENFERMERÍA Y FISIOTERAPIA;5,010;7,060;5,000 -ONP NA;5,000;5,000
2014 ;146509;ALMERÍA;SYJ;EDUCACIÓN PRIMARIA ;FAC. DE CIENCIAS DE LA EDUCACIÓN, ENFERMERÍA Y FISIOTERAPIA;5,249;7,470;5,438 -OPR AN;5,000;5,000
2014 ;102200;ALMERÍA;SYJ;EDUCACIÓN SOCIAL ;FAC. DE CIENCIAS DE LA EDUCACIÓN, ENFERMERÍA Y FISIOTERAPIA;5,175;5,000;5,000 -ONP NA;5,000;5,000
2014 ;102502;ALMERÍA;SD;ENFERMERÍA ;FAC. DE CIENCIAS DE LA EDUCACIÓN, ENFERMERÍA Y FISIOTERAPIA;9,380;8,200;6,916 -OPR AN;21,119;5,000
2014 ;134506;ALMERÍA;AYH;ESTUDIOS INGLESES ;FACULTAD DE HUMANIDADES Y PSICOLOGÍA;5,564;5,000;5,000 -ONP NA;5,000;5,000
2014 ;134001;ALMERÍA;AYH;FILOLOGÍA HISPÁNICA ;FACULTAD DE HUMANIDADES Y PSICOLOGÍA;5,000;5,000;5,000 -ONP NA;5,000;5,000
2014 ;102006;ALMERÍA;SYJ;FINANZAS Y CONTABILIDAD ;FACULTAD CIENCIAS ECONÓMICAS Y EMPRESARIALES;5,000;5,000;5,000 -ONP NA;5,000;5,000
