Año;Código;Universidad;Rama;Grado en;Centro;Nota general;Titulados;Mayor 25;Mayor 40;Mayor 45
2016 ;125504;ALMERÍA;SYJ;ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS ;FACULTAD CIENCIAS ECONÓMICAS Y EMPRESARIALES;6,122;5,000;5,000 -ONP NA;5,000;5,000
2016 ;126702;ALMERÍA;C;BIOTECNOLOGÍA ;FACULTAD DE CIENCIAS EXPERIMENTALES;10,104;5,000;5,000 -ONP NA;5,000;5,000
2016 ;127005;ALMERÍA;C;CIENCIAS AMBIENTALES ;FACULTAD DE CIENCIAS EXPERIMENTALES;5,000;5,000;5,000 -ONP NA;5,000;5,000
2016 ;127501;ALMERÍA;SYJ;CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE ;FACULTAD DE CIENCIAS DE LA EDUCACIÓN;10,064;7,553;6,170 -OPR AN;5,000;5,000
2016 ;129509;ALMERÍA;SYJ;DERECHO ;FACULTAD DE DERECHO;6,087;7,190;7,290 -OPR AN;5,000;5,000
2016 ;125601;ALMERÍA;SYJ;DERECHO + ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS ;FACULTAD DE DERECHO;6,101;6,620;8,610 -OPR NA;5,000;5,000
2016 ;130005;ALMERÍA;SYJ;ECONOMÍA ;FACULTAD CIENCIAS ECONÓMICAS Y EMPRESARIALES;5,000;5,000;6,520 -OPR AN;5,000;5,000
2016 ;145505;ALMERÍA;SYJ;EDUCACIÓN INFANTIL ;FACULTAD DE CIENCIAS DE LA EDUCACIÓN;5,402;6,090;5,600 -ONP NA;5,000;5,000
2016 ;146509;ALMERÍA;SYJ;EDUCACIÓN PRIMARIA ;FACULTAD DE CIENCIAS DE LA EDUCACIÓN;6,476;6,820;6,430 -ONP AN;5,000;5,000
2016 ;102200;ALMERÍA;SYJ;EDUCACIÓN SOCIAL ;FACULTAD DE CIENCIAS DE LA EDUCACIÓN;5,429;7,560;5,000 -ONP AN;5,000;5,000
2016 ;102502;ALMERÍA;SD;ENFERMERÍA ;FACULTAD DE CIENCIAS DE LA SALUD;9,950;7,800;5,150 -OPR AN;11,749;6,000
2016 ;134506;ALMERÍA;AYH;ESTUDIOS INGLESES ;FACULTAD DE HUMANIDADES;5,000;5,000;5,000 -ONP NA;5,000;5,000
2016 ;134001;ALMERÍA;AYH;FILOLOGÍA HISPÁNICA ;FACULTAD DE HUMANIDADES;5,000;5,000;5,000 -ONP NA;5,000;5,000
2016 ;102006;ALMERÍA;SYJ;FINANZAS Y CONTABILIDAD ;FACULTAD CIENCIAS ECONÓMICAS Y EMPRESARIALES;5,000;5,000;5,520 -OPR AN;5,000;5,000
2016 ;103506;ALMERÍA;SD;FISIOTERAPIA ;FACULTAD DE CIENCIAS DE LA SALUD;10,517;8,530;5,380 -OPR AN;5,000;5,000
2016 ;104003;ALMERÍA;SYJ;GESTIÓN Y ADMINISTRACIÓN PÚBLICA ;FACULTAD DE DERECHO;5,000;5,000;5,000 -ONP NA;5,000;5,000
2016 ;137507;ALMERÍA;AYH;HISTORIA ;FACULTAD DE HUMANIDADES;5,000;5,000;5,000 -ONP NA;5,000;5,000
2016 ;138500;ALMERÍA;AYH;HUMANIDADES ;FACULTAD DE HUMANIDADES;5,000;5,000;5,000 -ONP NA;5,000;5,000
