GRADO,CENTRO,SOL. 1ª PREF.,SOL. 2ª PREF.,SOL. 3ª PREF. ,OFERTA,NOTA DE CORTE,DEMANDA SOBRE OFERTA (1ª PREF.)
TERAPIA OCUPACIONAL,F. CIENCIAS DE LA SALUD,141,119,102,66,10,2.1
QUÍMICA,F. CIENCIAS,83,141,120,100,9.95,0.8
LENGUAS MODERNAS Y SUS LITERATURAS,F. FILOSOFÍA Y LETRAS,112,75,77,75,9.87,1.5
INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,E.T.S. ING. INFORMÁTICA Y DE TELECOMUNICACIÓN,138,174,104,100,9.849,1.4
CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,F. FARMACIA,60,103,106,60,9.78,1
MARKETING E INVESTIGACIÓN DE MERCADOS,F. CIENCIAS ECONÓMICAS Y EMPRESARIALES,259,277,235,132,9.656,2
INGENIERÍA INFORMÁTICA + ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,E.T.S. ING. INFORMÁTICA Y DE TELECOMUNICACIÓN,62,65,60,40,9.54,1.6
ENFERMERÍA,F. CIENCIAS DE LA SALUD (CEUTA),145,83,82,135,9.36,1.1
ENFERMERÍA,F. CIENCIAS DE LA SALUD (MELILLA),96,111,74,105,9.284,0.9
INGENIERÍA INFORMÁTICA,E.T.S. ING. INFORMÁTICA Y DE TELECOMUNICACIÓN,450,294,184,260,9.122,1.7
ESTUDIOS INGLESES,F. FILOSOFÍA Y LETRAS,169,150,120,150,9.075,1.1
FILOLOGÍA HISPÁNICA,F. FILOSOFÍA Y LETRAS,111,57,50,75,9,1.5
ÓPTICA Y OPTOMETRÍA,F. CIENCIAS,157,99,121,135,8.96,1.2
BELLAS ARTES,F. BELLAS ARTES,381,196,98,240,8.956,1.6
PSICOLOGÍA,F. PSICOLOGÍA,1026,714,467,300,8.86,3.4
LITERATURAS COMPARADAS,F. FILOSOFÍA Y LETRAS,57,43,28,50,8.45,1.1
INGENIERÍA CIVIL + ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,E.T.S. ING. CAMINOS. CANALES Y PUERTOS,15,20,24,20,8.435,0.8
ECONOMÍA,F. CIENCIAS ECONÓMICAS Y EMPRESARIALES,212,205,244,237,8.415,0.9
CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES,F. BELLAS ARTES,79,58,46,50,8.35,1.6
EDUCACIÓN PRIMARIA,F. CIENCIAS DE LA EDUCACIÓN,693,633,467,510,8.318,1.4
HISTORIA Y CIENCIAS DE LA MÚSICA,F. FILOSOFÍA Y LETRAS,113,25,24,65,8.278,1.7
EDUCACIÓN SOCIAL,F. CIENCIAS DE LA EDUCACIÓN,236,233,262,135,8.23,1.7
