Código,   Universidad,  Rama,  Grado en,  Centro,	Nota general,  Mayor
25,  Mayor 40, Mayor 45
225517,CÁDIZ,SYJ,ADMINISTRACION Y DIRECCIÓN DE EMPRESAS,F. CC. ECON. Y EMP. (JER),6.687,5.000,5.640 -OPR AN,5.000,5.000
225614,CÁDIZ,SYJ,ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS + DERECHO,F. CC. ECON. Y EMP. (JER),10.910,5.000,5.640 -OPR AN,5.000,5.000
224207,CÁDIZ,IYA,ARQUITECTURA NAVAL E INGENIERÍA MARÍTIMA ESTRUCTURAS MARINAS PROPULSION Y SERVICIOS DEL BUQUE,E. ING. NAVAL Y OCEÁNICA,5.000,5.000,5.000 -ONP NA,5.000,5.000
226700,CÁDIZ,C,BIOTECNOLOGÍA,F. CIENCIAS,12.127,5.000,5.000 -ONP NA,5.000,5.000
227100,CÁDIZ,C,CC AMBIENTALES + CC DEL MAR,F. CIENCIAS DEL MAR Y AMB,9.516,5.000,5.000 -ONP NA,5.000,5.000
227208,CÁDIZ,C,CC AMBIENTALES + QUÍMICA,F. CIENCIAS DEL MAR Y AMB,8.299,5.000,5.000 -ONP NA,5.000,5.000
228104,CÁDIZ,C,CC DEL MAR + CC AMBIENTALES,F. CIENCIAS DEL MAR Y AMB,10.314,5.000,5.000 -ONP NA,5.000,5.000
227003,CÁDIZ,C,CIENCIAS AMBIENTALES,F. CIENCIAS DEL MAR Y AMB,7.824,5.000,5.000 -ONP NA,5.000,5.000
227501,CÁDIZ,SYJ,CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,F. CIENCIAS EDUCACIÓN,10.280,5.000,6.350 -OPR AN,5.000,5.000
228007,CÁDIZ,C,CIENCIAS DEL MAR,F. CIENCIAS DEL MAR Y AMB,9.364,5.000,5.000 -ONP NA,5.000,5.000
292801,CÁDIZ,SYJ,CRIMINOLOGÍA Y SEGURIDAD,F. DERECHO (JEREZ),9.405,5.000,7.230 -OPR AN,21.750,5.000
229511,CÁDIZ,SYJ,DERECHO,FACULTAD DE DERECHO (ALG),6.402,5.000,6.840 -OPR AN,5.000,5.000
229507,CÁDIZ,SYJ,DERECHO,F. DERECHO (JEREZ),7.000,5.000,6.730 -OPR AN,5.000,5.000
245503,CÁDIZ,SYJ,EDUCACIÓN INFANTIL,F. CIENCIAS EDUCACIÓN,7.821,5.000,7.738 -ONP AN,5.000,5.000
245518,CÁDIZ,SYJ,EDUCACIÓN INFANTIL,C. MAGIST.VIR.EUR.(A)(LI),5.000,5.000,5.000 -ONP NA,5.000,5.000
246507,CÁDIZ,SYJ,EDUCACIÓN PRIMARIA,F. CIENCIAS EDUCACIÓN,8.214,5.000,7.763 -ONP AN,5.000,5.000
246511,CÁDIZ,SYJ,EDUCACIÓN PRIMARIA,C. MAGIST.VIR.EUR.(A)(LI),5.000,5.000,5.000 -ONP NA,5.000,5.000
202500,CÁDIZ,SD,ENFERMERÍA,F. ENFERMERÍA Y FISIOT.,11.030,5.000,7.000 -OPR AN,5.000,5.000
202515,CÁDIZ,SD,ENFERMERÍA,F. ENFERMERÍA (ALG),10.210,5.000,6.900 -OPR AN,13.333,5.000
202534,CÁDIZ,SD,ENFERMERÍA,F. ENFERM. Y FIS. (JER),10.750,5.000,8.400 -OPR AN,25.333,5.960
202549,CÁDIZ,SD,ENFERMERÍA,C. U.ENF.SALUS INFIRM.(A),9.253,5.000,5.552 -OPR AN,5.000,5.000
297001,CÁDIZ,C,ENOLOGÍA,F. CIENCIAS,6.670,5.000,6.340 -OPR AN,5.000,5.000
231503,CÁDIZ,AYH,ESTUDIOS ÁRABES E ISLÁMICOS,F. FILOSOFÍA Y LETRAS,5.000,5.000,5.000 -ONP NA,5.000,5.000
