Año;Código;Universidad;Rama;Grado en;Centro;Nota general;Titulados;Mayor 25;Mayor 40;Mayor 45
2011 ;125504;ALMERÍA;SYJ;ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS ;FACULTAD CIENCIAS ECONÓMICAS Y EMPRESARIALES;5,000;5,000;5,000 -ONP NA;5,000;5,000
2011 ;127005;ALMERÍA;C;CIENCIAS AMBIENTALES ;FACULTAD DE CIENCIAS EXPERIMENTALES;5,000;5,000;5,640 -ONP NA;7,249;5,000
2011 ;129509;ALMERÍA;SYJ;DERECHO ;FACULTAD DE DERECHO;5,190;6,317;5,876 -OPR AN;7,270;6,750
2011 ;130005;ALMERÍA;SYJ;ECONOMÍA ;FACULTAD CIENCIAS ECONÓMICAS Y EMPRESARIALES;5,000;5,000;5,018 -OPR AN;5,000;5,000
2011 ;145505;ALMERÍA;SYJ;EDUCACIÓN INFANTIL (MAESTRO) ;FACULTAD DE CIENCIAS DE LA EDUCACIÓN;5,014;5,000;6,292 -OPR NA;5,000;5,000
2011 ;146509;ALMERÍA;SYJ;EDUCACIÓN PRIMARIA (MAESTRO) ;FACULTAD DE CIENCIAS DE LA EDUCACIÓN;5,185;5,617;5,700 -OPR AN;5,000;5,000
2011 ;102200;ALMERÍA;SYJ;EDUCACIÓN SOCIAL ;FACULTAD DE CIENCIAS DE LA EDUCACIÓN;5,700;5,800;6,130 -OPR AN;13,832;7,950
2011 ;102502;ALMERÍA;SD;ENFERMERÍA ;FACULTAD DE CIENCIAS DE LA SALUD;9,670;7,213;8,500 -OPR AN;21,499;6,250
2011 ;134506;ALMERÍA;AYH;ESTUDIOS INGLESES ;FACULTAD DE HUMANIDADES;5,000;5,000;6,480 -OPR NA;5,000;5,000
2011 ;134001;ALMERÍA;AYH;FILOLOGÍA HISPÁNICA ;FACULTAD DE HUMANIDADES;5,000;5,000;6,562 -OPR AN;5,000;5,000
2011 ;102006;ALMERÍA;SYJ;FINANZAS Y CONTABILIDAD ;FACULTAD CIENCIAS ECONÓMICAS Y EMPRESARIALES;5,000;5,000;5,000 -ONP NA;5,000;5,000
2011 ;103506;ALMERÍA;SD;FISIOTERAPIA ;FACULTAD DE CIENCIAS DE LA SALUD;9,279;7,817;6,975 -OPR AN;17,333;7,425
2011 ;104003;ALMERÍA;SYJ;GESTIÓN Y ADMINISTRACIÓN PÚBLICA ;FACULTAD DE DERECHO;5,000;6,267;5,000 -OPR NA;8,142;5,000
2011 ;137507;ALMERÍA;AYH;HISTORIA ;FACULTAD DE HUMANIDADES;5,000;5,000;6,516 -OPR AN;48,436;7,750
2011 ;138500;ALMERÍA;AYH;HUMANIDADES ;FACULTAD DE HUMANIDADES;5,000;5,000;5,862 -OPR AN;5,000;5,000
2011 ;122007;ALMERÍA;IYA;INGENIERÍA AGRÍCOLA EXPLOTACIONES AGROPECUARIASHORTOFRUTICULTURA Y JARDINERÍAINDUSTRIAS AGRARIAS Y ALIMENTARIASMECANIZACIÓN DE CONSTRUCCIONES RURALES;ESCUELA SUPERIOR DE INGENIERÍA;5,000;5,000;5,000 -ONP NA;5,000;5,000
2011 ;113005;ALMERÍA;IYA;INGENIERÍA ELECTRÓNICA INDUSTRIAL ;ESCUELA SUPERIOR DE INGENIERÍA;5,000;5,000;5,000 -ONP NA;5,000;5,000
2011 ;123507;ALMERÍA;IYA;INGENIERÍA INFORMÁTICA INGENIERÍA DEL SOFTWARESISTEMAS DE INFORMACIÓNTECNOLOGÍAS DE LA INFORMACIÓN;ESCUELA SUPERIOR DE INGENIERÍA;5,000;5,000;5,258 -OPR AN;5,000;5,000
2011 ;113501;ALMERÍA;IYA;INGENIERÍA MECÁNICA ;ESCUELA SUPERIOR DE INGENIERÍA;5,000;7,000;5,000 -ONP NA;5,000;5,000
2011 ;114009;ALMERÍA;IYA;INGENIERÍA QUÍMICA INDUSTRIAL ;ESCUELA SUPERIOR DE INGENIERÍA;5,000;5,000;5,000 -ONP NA;5,000;5,000
2011 ;149003;ALMERÍA;SYJ;MARKETING E INVESTIGACIÓN DE MERCADOS ;FACULTAD CIENCIAS ECONÓMICAS Y EMPRESARIALES;5,000;5,000;5,170 -ONP AN;14,122;5,000
2011 ;139008;ALMERÍA;C;MATEMÁTICAS ;FACULTAD DE CIENCIAS EXPERIMENTALES;5,000;5,000;5,000 -ONP NA;5,000;5,000
2011 ;141500;ALMERÍA;SD;PSICOLOGÍA ;FACULTAD DE PSICOLOGÍA;6,000;6,200;5,708 -OPR AN;7,686;7,025
2011 ;142504;ALMERÍA;C;QUÍMICA ;FACULTAD DE CIENCIAS EXPERIMENTALES;5,000;5,000;5,000 -ONP NA;5,000;5,000
2011 ;108008;ALMERÍA;SYJ;RELACIONES LABORALES Y RECURSOS HUMANOS ;FACULTAD DE DERECHO;5,000;5,817;7,576 -OPR AN;5,435;7,500
2011 ;108504;ALMERÍA;SYJ;TRABAJO SOCIAL ;CENTRO RELACIONES LABORALES (ADSCRITO);5,000;5,000;5,000 -ONP NA;5,000;5,000
2011 ;108706;ALMERÍA;SYJ;TURISMO ;FACULTAD CIENCIAS ECONÓMICAS Y EMPRESARIALES;5,000;5,000;5,000 -ONP NA;5,000;5,000
2011 ;225521;CÁDIZ;SYJ;ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS ;FAC. CC. ECONÓMICAS Y EMPRESARIALES (SEDE ALGECIRAS);5,000;5,000;5,000 -ONP NA;5,000;5,000
2011 ;225517;CÁDIZ;SYJ;ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS ;FAC. CIENCIAS. ECON. Y EMP. (SEDE JEREZ);5,930;5,000;6,210 -OPR AN;5,000;5,000
2011 ;225502;CÁDIZ;SYJ;ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS ;FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES;5,000;5,000;5,100 -OPR AN;5,000;5,000
2011 ;224207;CÁDIZ;IYA;ARQUITECTURA NAVAL E INGENIERÍA MARÍTIMA ESTRUCTURAS MARINASPROPULSION Y SERVICIOS DEL BUQUE;ESCUELA DE INGENIERÍA NAVAL Y OCEÁNICA;5,000;5,433;5,625 -ONP AN;5,000;5,000
2011 ;226700;CÁDIZ;C;BIOTECNOLOGÍA ;FACULTAD DE CIENCIAS;10,153;7,397;7,800 -ONP AN;17,563;5,000
2011 ;227100;CÁDIZ;C;CC AMBIENTALES + CC DEL MAR ;FACULTAD DE CIENCIAS DEL MAR Y AMBIENTALES;5,526;5,000;5,000 -ONP NA;5,000;5,000
2011 ;227208;CÁDIZ;C;CC AMBIENTALES + QUÍMICA ;FACULTAD DE CIENCIAS DEL MAR Y AMBIENTALES;5,000;5,000;5,000 -ONP NA;5,000;5,000
2011 ;227501;CÁDIZ;SYJ;CC. DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE ;FACULTAD DE CIENCIAS DE LA EDUCACIÓN;8,637;6,417;7,560 -OPR NA;8,833;5,000
