Año;Código;Universidad;Rama;Grado en;Centro;Nota general;Titulados;Mayor 25;Mayor 40;Mayor 45
2010; 125504;ALMERÍA;SYJ;ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS; FACULTAD CIENCIAS ECONÓMICAS Y EMPRESARIALES;5,000;5,000;5,000 -ONP NA;5,000;5,000
2010; 127005;ALMERÍA;C;CIENCIAS AMBIENTALES; FACULTAD DE CIENCIAS EXPERIMENTALES;5,000;5,000;6,624 -ONP AN;9,000;5,000
2010; 129509;ALMERÍA;SYJ;DERECHO; FACULTAD DE DERECHO;5,000;6,100;5,070 -OPR NA;21,807;6,150
2010; 130005;ALMERÍA;SYJ;ECONOMÍA; FACULTAD CIENCIAS ECONÓMICAS Y EMPRESARIALES;5,000;5,000;5,000 -ONP NA;5,000;5,000
2010; 145505;ALMERÍA;SYJ;EDUCACIÓN INFANTIL; FACULTAD DE CIENCIAS DE LA EDUCACIÓN;5,000;5,000;8,734 -ONP AN;5,000;5,000
2010; 146509;ALMERÍA;SYJ;EDUCACIÓN PRIMARIA; FACULTAD DE CIENCIAS DE LA EDUCACIÓN;5,000;5,550;5,066 -OPR AN;5,000;5,000
2010; 102502;ALMERÍA;SD;ENFERMERÍA; FACULTAD DE CIENCIAS DE LA SALUD;9,400;6,783;7,321 -OPR AN;22,408;6,100
2010; 134506;ALMERÍA;AYH;ESTUDIOS INGLESES; FACULTAD DE HUMANIDADES;5,000;5,000;6,654 -OPR AN;5,000;5,000
2010; 134001;ALMERÍA;AYH;FILOLOGÍA HISPÁNICA; FACULTAD DE HUMANIDADES;5,000;5,000;5,000 -ONP NA;5,000;5,000
2010; 102006;ALMERÍA;SYJ;FINANZAS Y CONTABILIDAD; FACULTAD CIENCIAS ECONÓMICAS Y EMPRESARIALES;5,000;5,000;5,000 -ONP NA;5,000;5,000
2010; 103506;ALMERÍA;SD;FISIOTERAPIA; FACULTAD DE CIENCIAS DE LA SALUD;9,200;7,633;7,309 -OPR AN;22,978;6,300
2010; 104003;ALMERÍA;SYJ;GESTIÓN Y ADMINISTRACIÓN PÚBLICA; FACULTAD DE DERECHO;5,000;6,717;6,580 -OPR AN;5,000;5,000
2010; 137507;ALMERÍA;AYH;HISTORIA; FACULTAD DE HUMANIDADES;5,000;5,733;5,000 -OPR NA;12,499;5,000
2010; 138500;ALMERÍA;AYH;HUMANIDADES; FACULTAD DE HUMANIDADES;5,000;5,000;5,000 -ONP NA;5,000;5,000
2010; 122007;ALMERÍA;IYA;INGENIERÍA AGRONÓMICA EXPLOTACIONES AGROPECUARIASHORTOFRUTICULTURA Y JARDINERÍAINDUSTRIAS AGRARIAS Y ALIMENTARIASMECANIZACIÓN DE CONSTRUCCIONES RURALES;ESCUELA SUPERIOR DE INGENIERÍA;5,000;5,000;5,000 -OPR NA;5,000;5,000
2010; 113005;ALMERÍA;IYA;INGENIERÍA ELECTRÓNICA INDUSTRIAL; ESCUELA SUPERIOR DE INGENIERÍA;5,000;5,000;5,000 -ONP NA;5,000;5,000
2010; 123507;ALMERÍA;IYA;INGENIERÍA INFORMÁTICA INGENIERÍA DEL SOFTWARESISTEMAS DE INFORMACIÓNTECNOLOGÍAS DE LA INFORMACIÓN;ESCUELA SUPERIOR DE INGENIERÍA;5,000;5,000;5,000 -ONP NA;5,000;5,000
2010; 113501;ALMERÍA;IYA;INGENIERÍA MECÁNICA; ESCUELA SUPERIOR DE INGENIERÍA;5,000;5,600;6,940 -ONP AN;5,000;5,000
2010; 114009;ALMERÍA;IYA;INGENIERÍA QUÍMICA INDUSTRIAL; ESCUELA SUPERIOR DE INGENIERÍA;5,000;5,000;5,000 -ONP NA;5,000;5,000
2010; 149003;ALMERÍA;SYJ;MARKETING E INVESTIGACIÓN DE MERCADOS; FACULTAD CIENCIAS ECONÓMICAS Y EMPRESARIALES;5,000;5,683;5,000 -ONP NA;11,644;5,000
2010; 139008;ALMERÍA;C;MATEMÁTICAS; FACULTAD DE CIENCIAS EXPERIMENTALES;5,000;5,733;5,000 -ONP NA;5,000;5,000
2010; 141500;ALMERÍA;SD;PSICOLOGÍA; FACULTAD DE PSICOLOGÍA;5,690;5,800;6,166 -OPR AN;11,038;5,000
2010; 142504;ALMERÍA;C;QUÍMICA; FACULTAD DE CIENCIAS EXPERIMENTALES;5,000;5,000;5,000 -ONP NA;5,000;5,000
2010; 108008;ALMERÍA;SYJ;RELACIONES LABORALES Y RECURSOS HUMANOS; FACULTAD DE DERECHO;5,000;6,400;7,358 -ONP AN;5,000;5,000
2010; 108504;ALMERÍA;SYJ;TRABAJO SOCIAL; CENTRO RELACIONES LABORALES (ADSCRITO);5,000;5,000;5,000 -OPR NA;8,498;5,325
2010; 108706;ALMERÍA;SYJ;TURISMO; FACULTAD CIENCIAS ECONÓMICAS Y EMPRESARIALES;5,000;5,000;5,458 -ONP AN;5,000;5,000
2010; 225521;CÁDIZ;SYJ;ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS; FAC. CC. ECONÓMICAS Y EMPRESARIALES (SEDE ALGECIRAS);5,000;5,000;5,000 -ONP NA;5,000;5,000
2010; 225517;CÁDIZ;SYJ;ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS; FAC. CIENCIAS. ECON. Y EMP. (SEDE JEREZ);5,000;5,000;6,984 -OPR AN;13,663;7,975
2010; 225502;CÁDIZ;SYJ;ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS; FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES;5,000;5,000;5,000 -ONP NA;5,000;5,000
2010; 224207;CÁDIZ;IYA;ARQUITECTURA NAVAL E INGENIERÍA MARÍTIMA ESTRUCTURAS MARINASPROPULSION Y SERVICIOS DEL BUQUE;ESCUELA DE INGENIERÍA NAVAL Y OCEÁNICA;5,000;5,633;6,830 -ONP AN;5,000;5,000
2010; 227100;CÁDIZ;C;CC AMBIENTALES + CC DEL MAR; FACULTAD DE CIENCIAS DEL MAR Y AMBIENTALES;5,000;5,000;5,008 -ONP AN;5,000;5,000
2010; 227208;CÁDIZ;C;CC AMBIENTALES + QUÍMICA; FACULTAD DE CIENCIAS DEL MAR Y AMBIENTALES;5,000;5,000;5,000 -ONP NA;5,000;5,000
2010; 228104;CÁDIZ;C;CC DEL MAR + CC AMBIENTALES; FACULTAD DE CIENCIAS DEL MAR Y AMBIENTALES;5,260;5,000;5,970 -ONP AN;5,000;5,000
2010; 227003;CÁDIZ;C;CIENCIAS AMBIENTALES; FACULTAD DE CIENCIAS DEL MAR Y AMBIENTALES;5,000;5,000;5,317 -ONP AN;8,435;5,000
2010; 228007;CÁDIZ;C;CIENCIAS DEL MAR; FACULTAD DE CIENCIAS DEL MAR Y AMBIENTALES;5,000;5,000;5,000 -ONP NA;5,000;5,000
2010; 292801;CÁDIZ;SYJ;CRIMINOLOGÍA Y SEGURIDAD; FACULTAD DE DERECHO;8,156;8,000;7,693 -OPR AN;26,916;5,000
2010; 229507;CÁDIZ;SYJ;DERECHO; FACULTAD DE DERECHO;5,000;5,000;5,000 -OPR AN;33,416;6,225
